theta,ratio above
0.5,1.0
0.525,1.0
0.55,0.9991912656692277
0.575,0.9991912656692277
0.6,0.9987868985038415
0.625,0.9983825313384553
0.65,0.9979781641730692
0.675,0.9971694298422968
0.7,0.9967650626769107
0.725,0.9959563283461383
0.75,0.9951475940153659
0.775,0.9947432268499797
0.8,0.9947432268499797
0.825,0.9947432268499797
0.8500000000000001,0.9943388596845936
0.875,0.9939344925192074
0.9,0.9931257581884351
0.925,0.9919126566922766
0.95,0.9882733522038011
0.9750000000000001,0.9854427820460978
1.0,0.7974120501415285
