theta,F1 above
0.5,0.9854096520763187
0.525,0.9854096520763187
0.55,0.9854096520763187
0.575,0.9854096520763187
0.6,0.9865168539325843
0.625,0.9887387387387387
0.65,0.9887387387387387
0.675,0.9898534385569334
0.7,0.9898305084745762
0.725,0.9898305084745762
0.75,0.9898305084745762
0.775,0.9898305084745762
0.8,0.9898305084745762
0.825,0.9898305084745762
0.8500000000000001,0.9920544835414302
0.875,0.9920544835414302
0.9,0.9920544835414302
0.925,0.9920364050056882
0.95,0.9931192660550459
0.9750000000000001,0.9941927990708479
1.0,1.0
