theta,ratio above
0.5,1.0
0.525,0.9995956328346138
0.55,0.9987868985038415
0.575,0.9987868985038415
0.6,0.9983825313384553
0.625,0.9983825313384553
0.65,0.9983825313384553
0.675,0.9983825313384553
0.7,0.9979781641730692
0.725,0.9967650626769107
0.75,0.9963606955115245
0.775,0.9955519611807522
0.8,0.9955519611807522
0.825,0.9951475940153659
0.8500000000000001,0.9947432268499797
0.875,0.9943388596845936
0.9,0.9919126566922766
0.925,0.9898908208653457
0.95,0.9874646178730287
0.9750000000000001,0.9830165790537808
1.0,0.8022644561261626
