theta,ratio above
0.5,1.0
0.525,1.0
0.55,0.9995956328346138
0.575,0.9995956328346138
0.6,0.9991912656692277
0.625,0.9991912656692277
0.65,0.9987868985038415
0.675,0.997573797007683
0.7,0.9971694298422968
0.725,0.9967650626769107
0.75,0.9959563283461383
0.775,0.9943388596845936
0.8,0.9931257581884351
0.825,0.9927213910230489
0.8500000000000001,0.9923170238576627
0.875,0.9919126566922766
0.9,0.9894864536999596
0.925,0.9882733522038011
0.95,0.9870602507076426
0.9750000000000001,0.983420946219167
1.0,0.798625151637687
